,interface,link_status,protocol_status,hardware_type,address,bia,description,ip_address,mtu,duplex,speed,media_type,bandwidth,delay,encapsulation,last_input,last_output,last_output_hang,queue_strategy,input_rate,output_rate,input_packets,output_packets,input_errors,crc,abort,output_errors
0,GigabitEthernet7/0/41,up,up (connected),Gigabit Ethernet,5486.bcd9.24a9,5486.bcd9.24a9,RD-329,,1500,Full-duplex,1000Mb/s,10/100/1000BaseTX,1000000 Kbit,10 usec,ARPA,00:00:06,00:00:01,never,Class-based queueing,0,0,935246,14330698,0,0,,0
,interface,link_status,protocol_status,hardware_type,address,bia,description,ip_address,mtu,duplex,speed,media_type,bandwidth,delay,encapsulation,last_input,last_output,last_output_hang,queue_strategy,input_rate,output_rate,input_packets,output_packets,input_errors,crc,abort,output_errors
0,GigabitEthernet7/0/47,up,up (connected),Gigabit Ethernet,5486.bcd9.24af,5486.bcd9.24af,RD-335,,1500,Full-duplex,1000Mb/s,10/100/1000BaseTX,1000000 Kbit,10 usec,ARPA,00:00:40,00:00:01,never,Class-based queueing,0,0,12126555,36538421,0,0,,0
,interface,link_status,protocol_status,hardware_type,address,bia,description,ip_address,mtu,duplex,speed,media_type,bandwidth,delay,encapsulation,last_input,last_output,last_output_hang,queue_strategy,input_rate,output_rate,input_packets,output_packets,input_errors,crc,abort,output_errors
0,AppGigabitEthernet7/0/1,up,up (connected),App,5486.bcd9.24c1,5486.bcd9.24c1,,,1500,,,,1000000 Kbit,10 usec,ARPA,never,00:00:01,never,fifo,0,0,8,13566865,0,0,,0
,interface,link_status,protocol_status,hardware_type,address,bia,description,ip_address,mtu,duplex,speed,media_type,bandwidth,delay,encapsulation,last_input,last_output,last_output_hang,queue_strategy,input_rate,output_rate,input_packets,output_packets,input_errors,crc,abort,output_errors
0,GigabitEthernet8/0/26,up,up (connected),Gigabit Ethernet,4cbc.48f3.659a,4cbc.48f3.659a,RD-362,,1500,Full-duplex,1000Mb/s,10/100/1000BaseTX,1000000 Kbit,10 usec,ARPA,never,00:00:01,never,Class-based queueing,0,0,20066378,74265287,0,0,,0
,interface,link_status,protocol_status,hardware_type,address,bia,description,ip_address,mtu,duplex,speed,media_type,bandwidth,delay,encapsulation,last_input,last_output,last_output_hang,queue_strategy,input_rate,output_rate,input_packets,output_packets,input_errors,crc,abort,output_errors
0,AppGigabitEthernet8/0/1,up,up (connected),App,4cbc.48f3.65c1,4cbc.48f3.65c1,,,1500,,,,1000000 Kbit,10 usec,ARPA,never,00:00:01,never,fifo,0,0,10,13566869,0,0,,0
,interface,link_status,protocol_status,hardware_type,address,bia,description,ip_address,mtu,duplex,speed,media_type,bandwidth,delay,encapsulation,last_input,last_output,last_output_hang,queue_strategy,input_rate,output_rate,input_packets,output_packets,input_errors,crc,abort,output_errors
0,Port-channel1,up,up (connected),EtherChannel,acf5.e6d4.91b6,acf5.e6d4.91b6,,,1500,Full-duplex,10Gb/s,N/A,40000000 Kbit,10 usec,ARPA,00:00:00,00:09:38,never,fifo,32000,9000,1022929388,182808403,16894,0,,0
,interface,link_status,protocol_status,hardware_type,address,bia,description,ip_address,mtu,duplex,speed,media_type,bandwidth,delay,encapsulation,last_input,last_output,last_output_hang,queue_strategy,input_rate,output_rate,input_packets,output_packets,input_errors,crc,abort,output_errors
0,Loopback0,up,up,Loopback,,,,,1514,,,,8000000 Kbit,5000 usec,LOOPBACK,never,never,never,fifo,0,0,0,0,0,0,0,0
,interface,link_status,protocol_status,hardware_type,address,bia,description,ip_address,mtu,duplex,speed,media_type,bandwidth,delay,encapsulation,last_input,last_output,last_output_hang,queue_strategy,input_rate,output_rate,input_packets,output_packets,input_errors,crc,abort,output_errors
