interface,link_status,protocol_status,hardware_type,address,bia,description,ip_address,mtu,duplex,speed,media_type,bandwidth,delay,encapsulation,last_input,last_output,last_output_hang,queue_strategy,input_rate,output_rate,input_packets,output_packets,input_errors,crc,abort,output_errors
Vlan243,up,,,,,,,,,,,,,,,,,,,,,,,,,
TenGigabitEthernet1/1/1,up,,,,,,,,,,,,,,,,,,,,,,,,,
TenGigabitEthernet1/1/2,up,,,,,,,,,,,,,,,,,,,,,,,,,
AppGigabitEthernet1/0/1,up,,,,,,,,,,,,,,,,,,,,,,,,,
AppGigabitEthernet2/0/1,up,,,,,,,,,,,,,,,,,,,,,,,,,
AppGigabitEthernet3/0/1,up,,,,,,,,,,,,,,,,,,,,,,,,,
AppGigabitEthernet4/0/1,up,,,,,,,,,,,,,,,,,,,,,,,,,
TenGigabitEthernet5/1/1,up,,,,,,,,,,,,,,,,,,,,,,,,,
TenGigabitEthernet5/1/2,up,,,,,,,,,,,,,,,,,,,,,,,,,
AppGigabitEthernet5/0/1,up,,,,,,,,,,,,,,,,,,,,,,,,,
AppGigabitEthernet6/0/1,up,,,,,,,,,,,,,,,,,,,,,,,,,
GigabitEthernet7/0/41,up,,,,,,,,,,,,,,,,,,,,,,,,,
GigabitEthernet7/0/47,up,,,,,,,,,,,,,,,,,,,,,,,,,
AppGigabitEthernet7/0/1,up,,,,,,,,,,,,,,,,,,,,,,,,,
GigabitEthernet8/0/26,up,,,,,,,,,,,,,,,,,,,,,,,,,
AppGigabitEthernet8/0/1,up,,,,,,,,,,,,,,,,,,,,,,,,,
Port-channel1,up,,,,,,,,,,,,,,,,,,,,,,,,,
Loopback0,up,,,,,,,,,,,,,,,,,,,,,,,,,
Vlan243,up,,,,,,,,,,,,,,,,,,,,,,,,,
GigabitEthernet1/0/5,up,,,,,,,,,,,,,,,,,,,,,,,,,
TenGigabitEthernet1/1/1,up,,,,,,,,,,,,,,,,,,,,,,,,,
TenGigabitEthernet1/1/2,up,,,,,,,,,,,,,,,,,,,,,,,,,
AppGigabitEthernet1/0/1,up,,,,,,,,,,,,,,,,,,,,,,,,,
Port-channel1,up,,,,,,,,,,,,,,,,,,,,,,,,,
Port-channel13,up,,,,,,,,,,,,,,,,,,,,,,,,,
