interface,link_status,protocol_status,hardware_type,address,bia,description,ip_address,mtu,duplex,speed,media_type,bandwidth,delay,encapsulation,last_input,last_output,last_output_hang,queue_strategy,input_rate,output_rate,input_packets,output_packets,input_errors,crc,abort,output_errors
GigabitEthernet2/0/36,up,up (connected),Gigabit Ethernet,acf5.e6d4.9024,acf5.e6d4.9024,,,1500,Full-duplex,100Mb/s,10/100/1000BaseTX,100000 Kbit,100 usec,ARPA,never,0:00:01,never,Class-based queueing,2000,1000,31943624,37748597,0,0,,0
GigabitEthernet2/0/38,up,up (connected),Gigabit Ethernet,acf5.e6d4.9026,acf5.e6d4.9026,,,1500,Full-duplex,100Mb/s,10/100/1000BaseTX,100000 Kbit,100 usec,ARPA,never,0:00:01,never,Class-based queueing,0,1000,829459,26789687,0,0,,0
GigabitEthernet2/0/40,up,up (connected),Gigabit Ethernet,acf5.e6d4.9028,acf5.e6d4.9028,[L2] BLR-MR52-5-01 Port 1,,1500,Full-duplex,1000Mb/s,10/100/1000BaseTX,1000000 Kbit,10 usec,ARPA,0:00:13,0:00:05,never,fifo,0,3000,6555939,61934029,0,0,,0
GigabitEthernet2/0/41,up,up (connected),Gigabit Ethernet,acf5.e6d4.9029,acf5.e6d4.9029,,,1500,Full-duplex,100Mb/s,10/100/1000BaseTX,100000 Kbit,100 usec,ARPA,never,0:00:00,never,Class-based queueing,0,1000,2739070,23956905,0,0,,0
GigabitEthernet2/0/42,up,up (connected),Gigabit Ethernet,acf5.e6d4.902a,acf5.e6d4.902a,,,1500,Full-duplex,1000Mb/s,10/100/1000BaseTX,1000000 Kbit,10 usec,ARPA,0:00:02,0:00:06,never,fifo,1000,4000,30843661,118426095,0,0,,0
GigabitEthernet2/0/44,up,up (connected),Gigabit Ethernet,acf5.e6d4.902c,acf5.e6d4.902c,,,1500,Full-duplex,1000Mb/s,10/100/1000BaseTX,1000000 Kbit,10 usec,ARPA,0:00:00,0:00:06,never,fifo,0,4000,19235737,99153358,0,0,,0
GigabitEthernet2/0/46,up,up (connected),Gigabit Ethernet,acf5.e6d4.902e,acf5.e6d4.902e,,,1500,Full-duplex,1000Mb/s,10/100/1000BaseTX,1000000 Kbit,10 usec,ARPA,0:00:04,0:00:06,never,fifo,0,2000,20891421,111409509,0,0,,0
GigabitEthernet2/0/48,up,up (connected),Gigabit Ethernet,acf5.e6d4.9030,acf5.e6d4.9030,,,1500,Full-duplex,1000Mb/s,10/100/1000BaseTX,1000000 Kbit,10 usec,ARPA,0:00:05,0:00:01,never,fifo,0,2000,3421111,99987700,0,0,,0
AppGigabitEthernet2/0/1,up,up (connected),App,acf5.e6d4.9041,acf5.e6d4.9041,,,1500,,,,1000000 Kbit,10 usec,ARPA,never,0:00:01,never,fifo,0,0,8,14199263,0,0,,0
GigabitEthernet3/0/1,up,up (connected),Gigabit Ethernet,7802.b175.b081,7802.b175.b081,,,1500,Full-duplex,1000Mb/s,10/100/1000BaseTX,1000000 Kbit,10 usec,ARPA,0:00:03,0:00:01,never,fifo,0,2000,8050296,98670667,0,0,,0
GigabitEthernet3/0/3,up,up (connected),Gigabit Ethernet,7802.b175.b083,7802.b175.b083,,,1500,Full-duplex,1000Mb/s,10/100/1000BaseTX,1000000 Kbit,10 usec,ARPA,0:00:04,0:00:03,never,fifo,0,2000,12365317,130876857,0,0,,0
GigabitEthernet3/0/5,up,up (connected),Gigabit Ethernet,7802.b175.b085,7802.b175.b085,,,1500,Full-duplex,1000Mb/s,10/100/1000BaseTX,1000000 Kbit,10 usec,ARPA,0:00:06,0:00:00,never,fifo,0,2000,3948119,105375064,0,0,,0
GigabitEthernet3/0/9,up,up (connected),Gigabit Ethernet,7802.b175.b089,7802.b175.b089,,,1500,Full-duplex,1000Mb/s,10/100/1000BaseTX,1000000 Kbit,10 usec,ARPA,0:00:01,0:00:07,never,fifo,0,2000,28891297,93990461,0,0,,0
GigabitEthernet3/0/11,up,up (connected),Gigabit Ethernet,7802.b175.b08b,7802.b175.b08b,,,1500,Full-duplex,1000Mb/s,10/100/1000BaseTX,1000000 Kbit,10 usec,ARPA,0:00:12,0:00:07,never,fifo,0,2000,9056296,103798865,0,0,,0
GigabitEthernet3/0/13,up,up (connected),Gigabit Ethernet,7802.b175.b08d,7802.b175.b08d,,,1500,Full-duplex,1000Mb/s,10/100/1000BaseTX,1000000 Kbit,10 usec,ARPA,0:00:12,0:00:07,never,fifo,1000,3000,17351787,91056062,0,0,,0
GigabitEthernet3/0/22,up,up (connected),Gigabit Ethernet,7802.b175.b096,7802.b175.b096,,,1500,Full-duplex,100Mb/s,10/100/1000BaseTX,100000 Kbit,100 usec,ARPA,never,0:00:01,never,Class-based queueing,1255000,44000,2965289803,1586291577,0,0,,0
