,intf,ipaddr,status,proto
325,TwentyFiveGigE5/1/1,unassigned,down,down
326,TwentyFiveGigE5/1/2,unassigned,down,down
327,Ap5/0/1,unassigned,up,up
328,GigabitEthernet6/0/1,unassigned,down,down
329,GigabitEthernet6/0/2,unassigned,up,up
330,GigabitEthernet6/0/3,unassigned,down,down
331,GigabitEthernet6/0/4,unassigned,up,up
332,GigabitEthernet6/0/5,unassigned,down,down
333,GigabitEthernet6/0/6,unassigned,up,up
334,GigabitEthernet6/0/7,unassigned,down,down
335,GigabitEthernet6/0/8,unassigned,up,up
336,GigabitEthernet6/0/9,unassigned,down,down
337,GigabitEthernet6/0/10,unassigned,up,up
338,GigabitEthernet6/0/11,unassigned,down,down
339,GigabitEthernet6/0/12,unassigned,up,up
340,GigabitEthernet6/0/13,unassigned,down,down
341,GigabitEthernet6/0/14,unassigned,down,down
342,GigabitEthernet6/0/15,unassigned,down,down
343,GigabitEthernet6/0/16,unassigned,up,up
344,GigabitEthernet6/0/17,unassigned,down,down
345,GigabitEthernet6/0/18,unassigned,up,up
346,GigabitEthernet6/0/19,unassigned,down,down
347,GigabitEthernet6/0/20,unassigned,up,up
348,GigabitEthernet6/0/21,unassigned,down,down
349,GigabitEthernet6/0/22,unassigned,down,down
350,GigabitEthernet6/0/23,unassigned,down,down
351,GigabitEthernet6/0/24,unassigned,down,down
352,GigabitEthernet6/0/25,unassigned,down,down
353,GigabitEthernet6/0/26,unassigned,down,down
354,GigabitEthernet6/0/27,unassigned,down,down
355,GigabitEthernet6/0/28,unassigned,down,down
356,GigabitEthernet6/0/29,unassigned,down,down
357,GigabitEthernet6/0/30,unassigned,down,down
358,GigabitEthernet6/0/31,unassigned,down,down
359,GigabitEthernet6/0/32,unassigned,down,down
360,GigabitEthernet6/0/33,unassigned,down,down
361,GigabitEthernet6/0/34,unassigned,down,down
362,GigabitEthernet6/0/35,unassigned,down,down
363,GigabitEthernet6/0/36,unassigned,down,down
364,GigabitEthernet6/0/37,unassigned,down,down
365,GigabitEthernet6/0/38,unassigned,down,down
366,GigabitEthernet6/0/39,unassigned,down,down
367,GigabitEthernet6/0/40,unassigned,down,down
368,GigabitEthernet6/0/41,unassigned,down,down
369,GigabitEthernet6/0/42,unassigned,down,down
370,GigabitEthernet6/0/43,unassigned,down,down
371,GigabitEthernet6/0/44,unassigned,down,down
372,GigabitEthernet6/0/45,unassigned,up,up
373,GigabitEthernet6/0/46,unassigned,down,down
374,GigabitEthernet6/0/47,unassigned,up,up
375,GigabitEthernet6/0/48,unassigned,down,down
376,GigabitEthernet6/1/1,unassigned,down,down
377,GigabitEthernet6/1/2,unassigned,down,down
378,GigabitEthernet6/1/3,unassigned,down,down
379,GigabitEthernet6/1/4,unassigned,down,down
380,Te6/1/1,unassigned,down,down
381,Te6/1/2,unassigned,down,down
382,Te6/1/3,unassigned,down,down
383,Te6/1/4,unassigned,down,down
384,Te6/1/5,unassigned,down,down
385,Te6/1/6,unassigned,down,down
386,Te6/1/7,unassigned,down,down
387,Te6/1/8,unassigned,down,down
388,Fo6/1/1,unassigned,down,down
389,Fo6/1/2,unassigned,down,down
390,TwentyFiveGigE6/1/1,unassigned,down,down
391,TwentyFiveGigE6/1/2,unassigned,down,down
392,Ap6/0/1,unassigned,up,up
393,GigabitEthernet7/0/1,unassigned,down,down
394,GigabitEthernet7/0/2,unassigned,administratively down,down
395,GigabitEthernet7/0/3,unassigned,down,down
396,GigabitEthernet7/0/4,unassigned,administratively down,down
397,GigabitEthernet7/0/5,unassigned,down,down
398,GigabitEthernet7/0/6,unassigned,administratively down,down
399,GigabitEthernet7/0/7,unassigned,down,down
400,GigabitEthernet7/0/8,unassigned,administratively down,down
401,GigabitEthernet7/0/9,unassigned,down,down
402,GigabitEthernet7/0/10,unassigned,administratively down,down
403,GigabitEthernet7/0/11,unassigned,down,down
404,GigabitEthernet7/0/12,unassigned,administratively down,down
405,GigabitEthernet7/0/13,unassigned,down,down
406,GigabitEthernet7/0/14,unassigned,administratively down,down
407,GigabitEthernet7/0/15,unassigned,down,down
408,GigabitEthernet7/0/16,unassigned,administratively down,down
409,GigabitEthernet7/0/17,unassigned,down,down
410,GigabitEthernet7/0/18,unassigned,administratively down,down
